Notes:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sample ID,Reservoir,Site,Date,Depth_m,Cl,SO4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
s1,FCR,100,20-May-24,0.1m,973,1016
s2,FCR,20,17-Sep-24,0.1m,1078,689
s3,FCR,50,05-Aug_24,9.0m,1345,1363
s4,FCR,100,6-May-24,0.1m,905,818
s5,FCR,100,08_July-24,0.1m,904,510
s6,FCR,50,18-Mar-24,3.8m,1072,1360
s7,FCR,50,19-Aug-24,3.8m,1181,846
s8,FCR,50,6-May-24,3.8m,964,1415
s9,FCR,100,29-Apr-24,0.1m,893,904
s10,FCR,100,15-Jul-24,0.1m,1265,532
s12,FCR,100,17-Jun-24,0.1m,1235,572
s13,FCR,100,5-Mar-24,0.1m,891,1273
s14,FCR,50,19-Aug-24,1.6m,1160,663
s15,FCR,60,18-Mar-24,9.0m,1089,1341
s16,FCR,50,29-Apr-24,3.8m,1192,1390
s17,FCR,50,19-Aug-24,9.0m,1094,1361
s18,FCR,100,18-Mar-24,0.1m,857,1123
s19,FCR,100,2-Sep-24,0.1m,900,516
s20,FCR,100,10-Jun-24,0.1m,914,601
s21,FCR,100,9-Sep-24,0.1m,943,573
s22,FCR,50,20-May-24,1.6m,972,1273
s23,FCR,50,5-Aug-24,3.8m,1336,943
s24,FCR,50,5-Aug-24,5.0m,1341,1109
s25,FCR,100,5-Aug-24,0.1m,1108,485
s26,FCR,50,6-May-24,0.1m,992,1421
s27,FCR,50,19-Aug-24,0.1m,1055,667
s28,FCR,50,6-May-24,9.0m,1153,1458
s29,FCR,100,3-Jun-24,0.1m,985,668
s30,FCR,50,29-Apr-24,1.6m,981,1461
s31,FCR,50,24-Apr-24,5.0m,1081,1475
s32,FCR,50,6-May-24,5.0m,1082,1483
s33,FCR,100,22-Jul-24,0.1m,1120,475
s34,FCR,100,1-Jul-24,0.1m,2874,509
s35,FCR,100,15-Oct-24,0.1m,1039,593
s36,FCR,50,20-May-24,9.0m,1270,1493
s37,FCR,50,29-Apr-24,0.1m,1357,1499
s38,FCR,100,19-Aug-24,0.1m,928,533
s39,FCR,50,5-Aug-24,1.6m,1152,484
s40,FCR,50,20-May-24,3.8m,1022,1399
s41,FCR,100,13_May-24,0.1m,909,763
s42,FCR,20,8-Jul-24,0.1m,1124,190
s43,FCR,50,20-May-24,5.0m,1180,1473
s44,FCR,20,1-Jul-24,0.1m,1021,146
s45,FCR,50,29-Apr-24,9.0m,1127,1481
s46,FCR,100,21-Oct-24,0.1m,991,613
s47,FCR,100,24-Jun-24,0.1m,1416,531
s48,FCR,50,18-Mar-24,0.1m,1105,1412
s49,FCR,100,1-Apr-24,0.1m,991,1129
s50,FCR,20,15-Jul-24,0.1m,1903,452
s51,FCR,100,29-Oct-24,0.1m,1047,885
s52,FCR,50,05_Aug-24,0.1m,2981,486
s53,FCR,50,6-May-24,1.6m,978,1451
s54,FCR,50,18-Mar-24,5.0m,1087,1415
s55,FCR,50,18-Mar-24,1.6m,1092,1413
s56,FCR,50,20-May-24,0.1m,1008,1281
s57,FCR,50,19_Aug-24,5.0m,1166,831
s58,FCR,20,26_Aug-24,0.1m,1116,701
s59,FCR,100,4-Nov-24,0.1m,963,628
s60,FCR,20,2-Sep-24,0.1m,1140,666
