Sample ID,Reservoir,Site,Date,Depth_m,Cl,SO4,,,,,Date
s1,FCR,100,2024-05-20,0.1,973,1016,,,,,20-May-24
s2,FCR,20,2024-09-17,0.1,1078,689,,,,,17-Sep-24
s3,FCR,50,2024-08-05,9,1345,1363,,,,,05-Aug_24
s4,FCR,100,2024-05-06,0.1,905,818,,,,,6-May-24
s5,FCR,100,2024-07-08,0.1,904,510,,,,,08_July-24
s6,FCR,50,2024-03-18,3.8,1072,1360,,,,,18-Mar-24
s7,FCR,50,2024-08-19,3.8,1181,846,,,,,19-Aug-24
s8,FCR,50,2024-05-06,3.8,964,1415,,,,,6-May-24
s9,FCR,100,2024-03-29,0.1,893,904,,,,,29-Apr-24
s10,FCR,100,2024-07-15,0.1,1265,532,,,,,15-Jul-24
s12,FCR,100,2024-06-17,0.1,1235,572,,,,,17-Jun-24
s13,FCR,100,2024-03-05,0.1,891,1273,,,,,5-Mar-24
s14,FCR,50,2024-08-19,1.6,1160,663,,,,,19-Aug-24
s15,FCR,60,2024-03-18,9,1089,1341,,,,,18-Mar-24
s16,FCR,50,2024-04-29,3.8,1192,1390,,,,,29-Apr-24
s17,FCR,50,2024-08-19,9,1094,1361,,,,,19-Aug-24
s18,FCR,100,2024-03-18,0.1,857,1123,,,,,18-Mar-24
s19,FCR,100,2024-09-02,0.1,900,516,,,,,2-Sep-24
s20,FCR,100,2024-06-10,0.1,914,601,,,,,10-Jun-24
s21,FCR,100,2024-09-09,0.1,943,573,,,,,9-Sep-24
s22,FCR,50,2024-05-20,1.6,972,1273,,,,,20-May-24
s23,FCR,50,2024-08-05,3.8,1336,943,,,,,5-Aug-24
s24,FCR,50,2024-08-05,5,1341,1109,,,,,5-Aug-24
s25,FCR,100,2024-08-05,0.1,1108,485,,,,,5-Aug-24
s26,FCR,50,2024-05-06,0.1,992,1421,,,,,6-May-24
s27,FCR,50,2024-08-19,0.1,1055,667,,,,,19-Aug-24
s28,FCR,50,2024-05-06,9,1153,1458,,,,,6-May-24
s29,FCR,100,2024-06-03,0.1,985,668,,,,,3-Jun-24
s30,FCR,50,2024-03-29,1.6,981,1461,,,,,29-Apr-24
s31,FCR,50,2024-03-24,5,1081,1475,,,,,24-Apr-24
s32,FCR,50,2024-05-06,5,1082,1483,,,,,6-May-24
s33,FCR,100,2024-07-22,0.1,1120,475,,,,,22-Jul-24
s34,FCR,100,2024-07-01,0.1,2874,509,,,,,1-Jul-24
s35,FCR,100,2024-10-15,0.1,1039,593,,,,,15-Oct-24
s36,FCR,50,2024-05-20,9,1270,1493,,,,,20-May-24
s37,FCR,50,2024-04-29,0.1,1357,1499,,,,,29-Apr-24
s38,FCR,100,2024-08-19,0.1,928,533,,,,,19-Aug-24
s39,FCR,50,2024-08-05,1.6,1152,484,,,,,5-Aug-24
s40,FCR,50,2024-05-20,3.8,1022,1399,,,,,20-May-24
s41,FCR,100,2024-05-13,0.1,909,763,,,,,13_May-24
s42,FCR,20,2024-07-08,0.1,1124,190,,,,,8-Jul-24
s43,FCR,50,2024-05-20,5,1180,1473,,,,,20-May-24
s44,FCR,20,2024-07-01,0.1,1021,146,,,,,1-Jul-24
s45,FCR,50,2024-03-29,9,1127,1481,,,,,29-Apr-24
s46,FCR,100,2024-10-21,0.1,991,613,,,,,21-Oct-24
s47,FCR,100,2024-06-24,0.1,1416,531,,,,,24-Jun-24
s48,FCR,50,2024-03-18,0.1,1105,1412,,,,,18-Mar-24
s49,FCR,100,2024-04-01,0.1,991,1129,,,,,1-Apr-24
s50,FCR,20,2024-07-15,0.1,1903,452,,,,,15-Jul-24
s51,FCR,100,2024-10-29,0.1,1047,885,,,,,29-Oct-24
s52,FCR,50,2024-08-05,0.1,2981,486,,,,,05_Aug-24
s53,FCR,50,2024-05-06,1.6,978,1451,,,,,6-May-24
s54,FCR,50,2024-03-18,5,1087,1415,,,,,18-Mar-24
s55,FCR,50,2024-03-18,1.6,1092,1413,,,,,18-Mar-24
s56,FCR,50,2024-05-20,0.1,1008,1281,,,,,20-May-24
s57,FCR,50,2024-08-19,5,1166,831,,,,,19_Aug-24
s58,FCR,20,2024-08-26,0.1,1116,701,,,,,26_Aug-24
s59,FCR,100,2024-11-04,0.1,963,628,,,,,4-Nov-24
s60,FCR,20,2024-09-02,0.1,1140,666,,,,,2-Sep-24
